masa_g,t_20,incertidumbre
150,14.94,0.20000000000000001
150,15,0.20000000000000001
150,15.390000000000001,0.20000000000000001
150,15.19,0.20000000000000001
250,19.129999999999999,0.20000000000000001
250,18.309999999999999,0.20000000000000001
250,19.489999999999998,0.20000000000000001
250,19.32,0.20000000000000001
350,21.370000000000001,0.20000000000000001
350,21.73,0.20000000000000001
350,21.300000000000001,0.20000000000000001
350,21.600000000000001,0.20000000000000001
450,23.969999999999999,0.20000000000000001
450,23.93,0.20000000000000001
450,23.370000000000001,0.20000000000000001
450,22.609999999999999,0.20000000000000001
550,25.77,0.20000000000000001
550,26.379999999999999,0.20000000000000001
550,25.879999999999999,0.20000000000000001
550,25.899999999999999,0.20000000000000001
