masa_g,posicion_cm,apreciacion_m
50,71.5,0.00050000000000000001
150,78.400000000000006,0.00050000000000000001
150,78.400000000000006,0.00050000000000000001
150,78.400000000000006,0.00050000000000000001
150,78.400000000000006,0.00050000000000000001
250,85.299999999999997,0.00050000000000000001
250,85.299999999999997,0.00050000000000000001
250,85.299999999999997,0.00050000000000000001
250,85.400000000000006,0.00050000000000000001
350,92.200000000000003,0.00050000000000000001
350,92.200000000000003,0.00050000000000000001
350,92.200000000000003,0.00050000000000000001
350,92.200000000000003,0.00050000000000000001
450,99.200000000000003,0.00050000000000000001
450,99.200000000000003,0.00050000000000000001
450,99.200000000000003,0.00050000000000000001
450,99.200000000000003,0.00050000000000000001
550,106.59999999999999,0.001
550,106.59999999999999,0.001
550,106.59999999999999,0.001
550,106.59999999999999,0.0009999999999999998
